As of 31/12/2016,As of 31/12/2017,As of 31/12/2018,As of 31/12/2019,As of 31/12/2020,As of 31/12/2021,As of 31/12/2022
GL,FTI,GD,FTNT,FTNT,FRCB,FSLR
GLW,FTV,GE,FTV,FTV,FRT,FTNT
GM,GD,GEN,GD,GD,FTNT,FTV
GOOG,GE,GILD,GE,GE,FTV,GD
GOOGL,GEN,GIS,GEN,GEN,GD,GE
GPC,GGP,GL,GILD,GILD,GE,GEN
GPN,GILD,GLW,GIS,GIS,GEN,GILD
GPS,GIS,GM,GL,GL,GILD,GIS
GRMN,GL,GOOG,GLW,GLW,GIS,GL
GS,GLW,GOOGL,GM,GM,GL,GLW
GT,GM,GPC,GOOG,GOOG,GLW,GM
GWW,GOOG,GPN,GOOGL,GOOGL,GM,GNRC
HAL,GOOGL,GPS,GPC,GPC,GNRC,GOOG
HAR,GPC,GRMN,GPN,GPN,GOOG,GOOGL
HAS,GPN,GS,GPS,GPS,GOOGL,GPC
HBAN,GPS,GT,GRMN,GRMN,GPC,GPN
HBI,GRMN,GWW,GS,GS,GPN,GRMN
HCA,GS,HAL,GWW,GWW,GPS,GS
HD,GT,HAS,HAL,HAL,GRMN,GWW
HES,GWW,HBAN,HAS,HAS,GS,HAL
HIG,HAL,HBI,HBAN,HBAN,GWW,HAS
HOG,HAS,HCA,HBI,HBI,HAL,HBAN
HOLX,HBAN,HD,HCA,HCA,HAS,HCA
HON,HBI,HES,HD,HD,HBAN,HD
HP,HCA,HFC,HES,HES,HCA,HES
HPE,HD,HIG,HFC,HFC,HD,HIG
HPQ,HES,HII,HIG,HIG,HES,HII
HRB,HIG,HLT,HII,HII,HIG,HLT
HRL,HLT,HOG,HLT,HLT,HII,HOLX
HSIC,HOG,HOLX,HOG,HOLX,HLT,HON
HST,HOLX,HON,HOLX,HON,HOLX,HPE
HSY,HON,HP,HON,HPE,HON,HPQ
HUM,HP,HPE,HP,HPQ,HPE,HRL
HWM,HPE,HPQ,HPE,HRL,HPQ,HSIC
IBM,HPQ,HRB,HPQ,HSIC,HRL,HST
ICE,HRB,HRL,HRB,HST,HSIC,HSY
IFF,HRL,HSIC,HRL,HSY,HST,HUM
ILMN,HSIC,HST,HSIC,HUM,HSY,HWM
INTC,HST,HSY,HST,HWM,HUM,IBM
INTU,HSY,HUM,HSY,IBM,HWM,ICE
IP,HUM,HWM,HUM,ICE,IBM,IDXX
IPG,HWM,IBM,HWM,IDXX,ICE,IEX
IRM,IBM,ICE,IBM,IEX,IDXX,IFF
ISRG,ICE,IDXX,ICE,IFF,IEX,ILMN
ITW,IDXX,IFF,IDXX,ILMN,IFF,INCY
IVZ,IFF,ILMN,IEX,INCY,ILMN,INTC
JBHT,ILMN,INCY,IFF,INFO,INCY,INTU
JCI,INCY,INFO,ILMN,INTC,INFO,INVH
JEF,INFO,INTC,INCY,INTU,INTC,IP
JNJ,INTC,INTU,INFO,IP,INTU,IPG
JNPR,INTU,IP,INTC,IPG,IP,IQV
JPM,IP,IPG,INTU,IPGP,IPG,IR
JWN,IPG,IPGP,IP,IQV,IPGP,IRM
K,IQV,IQV,IPG,IR,IQV,ISRG
KDP,IRM,IRM,IPGP,IRM,IR,IT
KEY,ISRG,ISRG,IQV,ISRG,IRM,ITW
KHC,IT,IT,IRM,IT,ISRG,IVZ
KIM,ITW,ITW,ISRG,ITW,IT,J
KLAC,IVZ,IVZ,IT,IVZ,ITW,JBHT
KMB,JBHT,JBHT,ITW,JBHT,IVZ,JCI
KMI,JCI,JCI,IVZ,JCI,JBHT,JKHY
KMX,JEF,JEF,JBHT,JKHY,JCI,JNJ
KO,JNJ,JKHY,JCI,JNJ,JKHY,JNPR
KR,JNPR,JNJ,JKHY,JNPR,JNJ,JPM
KSS,JPM,JNPR,JNJ,JPM,JNPR,K
KSU,JWN,JPM,JNPR,K,JPM,KDP
L,K,JWN,JPM,KEY,K,KEY
LEG,KDP,K,JWN,KEYS,KEY,KEYS
LEN,KEY,KEY,K,KHC,KEYS,KHC
LH,KHC,KEYS,KEY,KIM,KHC,KIM
LHX,KIM,KHC,KEYS,KLAC,KIM,KLAC
LKQ,KLAC,KIM,KHC,KMB,KLAC,KMB
LLTC,KMB,KLAC,KIM,KMI,KMB,KMI
LLY,KMI,KMB,KLAC,KMX,KMI,KMX
LMT,KMX,KMI,KMB,KO,KMX,KO
LNC,KO,KMX,KMI,KR,KO,KR
LNT,KR,KO,KMX,KSU,KR,L
LOW,KSS,KR,KO,L,L,LDOS
LRCX,KSU,KSS,KR,LDOS,LDOS,LEN
LUMN,L,KSU,KSS,LEG,LEN,LH
LUV,LEG,L,KSU,LEN,LH,LHX
LVLT,LEN,LEG,L,LH,LHX,LIN
LYB,LH,LEN,LDOS,LHX,LIN,LKQ
M,LHX,LH,LEG,LIN,LKQ,LLY
MA,LKQ,LHX,LEN,LKQ,LLY,LMT
MAA,LLY,LIN,LH,LLY,LMT,LNC
MAC,LMT,LKQ,LHX,LMT,LNC,LNT
MAR,LNC,LLY,LIN,LNC,LNT,LOW
MAS,LNT,LMT,LKQ,LNT,LOW,LRCX
MAT,LOW,LNC,LLY,LOW,LRCX,LUMN
MCD,LRCX,LNT,LMT,LRCX,LUMN,LUV
MCHP,LUMN,LOW,LNC,LUMN,LUV,LVS
MCK,LUV,LRCX,LNT,LUV,LVS,LW
MCO,LYB,LUMN,LOW,LVS,LW,LYB
MDLZ,M,LUV,LRCX,LW,LYB,LYV
MDT,MA,LW,LUMN,LYB,LYV,MA
MET,MAA,LYB,LUV,LYV,MA,MAA
META,MAC,M,LVS,MA,MAA,MAR
MHK,MAR,MA,LW,MAA,MAR,MAS
MJN,MAS,MAA,LYB,MAR,MAS,MCD
MKC,MAT,MAC,LYV,MAS,MCD,MCHP
MLM,MCD,MAR,M,MCD,MCHP,MCK
MMC,MCHP,MAS,MA,MCHP,MCK,MCO
MMM,MCK,MAT,MAA,MCK,MCO,MDLZ
MNKKQ,MCO,MCD,MAR,MCO,MDLZ,MDT
MNST,MDLZ,MCHP,MAS,MDLZ,MDT,MET
MO,MDT,MCK,MCD,MDT,MET,META
MOS,MET,MCO,MCHP,MET,META,MGM
MPC,META,MDLZ,MCK,META,MGM,MHK
MRK,MGM,MDT,MCO,MGM,MHK,MKC
MRO,MHK,MET,MDLZ,MHK,MKC,MKTX
MS,MKC,META,MDT,MKC,MKTX,MLM
MSFT,MLM,MGM,MET,MKTX,MLM,MMC
MSI,MMC,MHK,META,MLM,MMC,MMM
MTB,MMM,MKC,MGM,MMC,MMM,MNST
MTD,MNST,MLM,MHK,MMM,MNST,MO
MU,MO,MMC,MKC,MNST,MO,MOH
MUR,MOS,MMM,MKTX,MO,MOS,MOS
MYL,MPC,MNST,MLM,MOS,MPC,MPC
NAVI,MRK,MO,MMC,MPC,MPWR,MPWR
NBL,MRO,MOS,MMM,MRK,MRK,MRK
NDAQ,MS,MPC,MNST,MRO,MRNA,MRNA
NEE,MSFT,MRK,MO,MS,MRO,MRO
NEM,MSI,MRO,MOS,MSCI,MS,MS
NFLX,MTB,MS,MPC,MSFT,MSCI,MSCI
NFX,MTD,MSCI,MRK,MSI,MSFT,MSFT
NI,MU,MSFT,MRO,MTB,MSI,MSI
NKE,MYL,MSI,MS,MTD,MTB,MTB
